TrialID	BlockCount	TrialStimIndices	TrialStimLocations	TrialStimTokenReward	RandomizedLocations
 VSn06.TDSIM1	1	[18,8,13,52,25,33,48]	[[0.00,3.80, 0.0],[10.00, -3.80, 0.0],[15.00, -11.40, 0.0],[0.00, -3.80, 0.0],[-5.00, 0.00, 0.0],[-10.00, 3.80, 0.0],[20.00, -11.40, 0.0]]	[[{"NumTokens":2,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}]]	FALSE
 VSn06.TDSIM1	1	[18,55,12,56,14,35,32]	[[-15.00,0.00, 0.0],[0.00, 11.40, 0.0],[-20.00, -7.60, 0.0],[-20.00, 7.60, 0.0],[5.00, 3.80, 0.0],[-5.00, -7.60, 0.0],[15.00, -3.80, 0.0]]	[[{"NumTokens":2,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}]]	FALSE
 VSn03.TDSIM2	1	[18,14,19,26]	[[-10.00,-11.40, 0.0],[5.00, 11.40, 0.0],[5.00, -11.40, 0.0],[20.00, -11.40, 0.0]]	[[{"NumTokens":2,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}]]	FALSE
 VSn12.TDSIM2	1	[18,3,29,23,33,46,49,34,26,19,2,30,16]	[[-20.00,7.60, 0.0],[0.00, -3.80, 0.0],[-15.00, 0.00, 0.0],[15.00, 0.00, 0.0],[-15.00, -11.40, 0.0],[-20.00, -11.40, 0.0],[-10.00, -3.80, 0.0],[10.00, -3.80, 0.0],[15.00, 3.80, 0.0],[5.00, 11.40, 0.0],[20.00, -11.40, 0.0],[-15.00, 3.80, 0.0],[-10.00, 11.40, 0.0]]	[[{"NumTokens":2,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}]]	FALSE
 VSn03.TDSIM2	1	[18,27,30,17]	[[-5.00,0.00, 0.0],[-20.00, 0.00, 0.0],[0.00, -3.80, 0.0],[-10.00, -11.40, 0.0]]	[[{"NumTokens":2,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}]]	FALSE
 VSn12.TDSIM1	1	[18,36,56,53,45,63,11,3,25,32,33,6,58]	[[-20.00,7.60, 0.0],[-20.00, -7.60, 0.0],[15.00, -11.40, 0.0],[10.00, -11.40, 0.0],[-5.00, 3.80, 0.0],[10.00, 11.40, 0.0],[0.00, -7.60, 0.0],[-5.00, -7.60, 0.0],[-10.00, 11.40, 0.0],[-20.00, 0.00, 0.0],[5.00, -3.80, 0.0],[15.00, 0.00, 0.0],[0.00, 3.80, 0.0]]	[[{"NumTokens":2,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}]]	FALSE
 VSn09.TDSIM2	1	[18,48,27,62,35,21,2,22,30,50]	[[10.00,11.40, 0.0],[-10.00, 11.40, 0.0],[15.00, -3.80, 0.0],[-20.00, -3.80, 0.0],[0.00, -11.40, 0.0],[20.00, 3.80, 0.0],[5.00, 11.40, 0.0],[-20.00, 7.60, 0.0],[20.00, 0.00, 0.0],[10.00, 7.60, 0.0]]	[[{"NumTokens":2,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}]]	FALSE
 VSn12.TDSIM2	1	[18,27,20,54,33,3,31,26,50,30,2,19,34]	[[5.00,3.80, 0.0],[-5.00, 3.80, 0.0],[-20.00, -11.40, 0.0],[10.00, 11.40, 0.0],[-10.00, 7.60, 0.0],[-15.00, 3.80, 0.0],[20.00, 11.40, 0.0],[10.00, 0.00, 0.0],[-5.00, 7.60, 0.0],[-20.00, 3.80, 0.0],[20.00, -7.60, 0.0],[0.00, 11.40, 0.0],[5.00, -3.80, 0.0]]	[[{"NumTokens":2,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}]]	FALSE
 VSn06.TDSIM2	1	[18,0,42,54,2,26,22]	[[5.00,3.80, 0.0],[20.00, -7.60, 0.0],[-10.00, 7.60, 0.0],[-20.00, 7.60, 0.0],[15.00, 3.80, 0.0],[-10.00, -3.80, 0.0],[5.00, 7.60, 0.0]]	[[{"NumTokens":2,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}]]	FALSE
 VSn12.TDSIM1	1	[18,52,4,57,61,7,43,46,48,28,51,38,21]	[[10.00,11.40, 0.0],[-5.00, -7.60, 0.0],[-10.00, -7.60, 0.0],[10.00, 7.60, 0.0],[-15.00, 7.60, 0.0],[-10.00, 0.00, 0.0],[-5.00, -3.80, 0.0],[-15.00, 0.00, 0.0],[-15.00, 3.80, 0.0],[20.00, 0.00, 0.0],[0.00, -7.60, 0.0],[15.00, 3.80, 0.0],[20.00, -7.60, 0.0]]	[[{"NumTokens":2,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}]]	FALSE
